CLIENT_ID,AGE,INCOME,REGION,PRODUCT_TYPE,CREDIT_SCORE,PREDICTED_REVENUE,RISK_CATEGORY,SCENARIO_FACTOR,NOTE
C0,48,68972,Prague,Mortgage,527,5182,High Risk,1,
C1,47,51327,Brno,Personal Loan,525,3418,High Risk,1.1,
C2,23,49068,Ostrava,Credit Card,621,9933,Medium Risk,1,
C3,50,53742,Pilsen,Mortgage,846,5972,Low Risk,1,
C4,27,33005,Prague,Personal Loan,806,9180,Low Risk,1.1,
C5,47,62378,Brno,Credit Card,590,5460,High Risk,1,
C6,43,73812,Ostrava,Mortgage,644,4486,Medium Risk,1,
C7,70,117415,Pilsen,Personal Loan,810,3774,Low Risk,0.9,
C8,35,57926,Prague,Credit Card,614,4216,Medium Risk,1.1,
C9,69,99800,Brno,Mortgage,503,6744,High Risk,1.1,
C10,30,66756,Ostrava,Personal Loan,693,9013,Medium Risk,0.9,
C11,47,63097,Pilsen,Credit Card,847,7802,Low Risk,0.9,
C12,22,45635,Prague,Mortgage,782,7553,Low Risk,1,
C13,53,110759,Brno,Personal Loan,783,2765,Low Risk,0.9,
C14,35,68097,Ostrava,Credit Card,536,9300,High Risk,1,
C15,47,89710,Pilsen,Mortgage,827,2503,Low Risk,0.9,
C16,52,113916,Prague,Personal Loan,680,9805,Medium Risk,1.1,
C17,29,33670,Brno,Credit Card,734,9764,Medium Risk,1.1,
C18,48,53974,Ostrava,Mortgage,557,2652,High Risk,1,
C19,66,101755,Pilsen,Personal Loan,513,8837,High Risk,1.1,
C20,29,47720,Prague,Credit Card,508,4914,High Risk,1,
C21,68,115457,Brno,Mortgage,760,8088,Low Risk,1.1,
C22,36,65190,Ostrava,Personal Loan,848,7872,Low Risk,1,
C23,46,55524,Pilsen,Credit Card,504,1534,High Risk,1.1,
C24,43,57921,Prague,Mortgage,735,5688,Medium Risk,1,
C25,22,47189,Brno,Personal Loan,760,2012,Low Risk,0.9,
C26,41,68928,Ostrava,Credit Card,546,1323,High Risk,0.9,
C27,53,117437,Pilsen,Mortgage,816,1812,Low Risk,1.1,
C28,39,59137,Prague,Personal Loan,696,9485,Medium Risk,1.1,
C29,57,95341,Brno,Credit Card,675,7694,Medium Risk,1.1,
C30,33,57866,Ostrava,Mortgage,644,6749,Medium Risk,0.9,
C31,29,37966,Pilsen,Personal Loan,629,1282,Medium Risk,1,
C32,59,110906,Prague,Credit Card,505,6227,High Risk,0.9,
C33,24,38854,Brno,Mortgage,821,3805,Low Risk,0.9,
C34,44,62321,Ostrava,Personal Loan,732,8485,Medium Risk,1,
C35,39,53403,Pilsen,Credit Card,535,3088,High Risk,1.1,
